# name,orbital_period,semi_major_axis,eccentricity,discovered,detection_type,star_name,star_distance,star_metallicity,star_mass,star_sp_type
11 Com b,326.03,1.29,0.231,2008,Radial Velocity,11 Com,110.6,-0.35,2.7,G8 III
11 UMi b,516.22,1.54,0.08,2009,Radial Velocity,11 UMi,119.5,0.04,1.8,K4III
14 And b,185.84,0.83,0,2008,Radial Velocity,14 And,76.4,-0.24,2.2,K0III
14 Her b,1773.4,2.77,0.369,2002,Radial Velocity,14 Her,18.1,0.43,0.9,K0 V
16 Cyg B b,799.5,1.68,0.689,1996,Radial Velocity,16 Cyg B,21.41,0.08,1.01,G2.5 V
18 Del b,993.3,2.6,0.08,2008,Radial Velocity,18 Del,73.1,-0.052,2.3,G6III
1SWASP J1407 b,3725,3.9,,2012,Primary Transit,1SWASP J1407,133,,0.9,
24 Boo b,30.3506,0.19,0.042,2018,Radial Velocity,24 Boo,100,-0.77,0.99,G3IV
24 Sex b,452.8,1.333,0.09,2010,Radial Velocity,24 Sex,72.2084,-0.03,1.54,G5
24 Sex c,883,2.08,0.29,2010,Radial Velocity,24 Sex,72.2084,-0.03,1.54,G5
30 Ari B b,335.1,0.995,0.289,2009,Radial Velocity,30 Ari B,39.4,0.12,1.22,F6V
38 Vir b,825.9,1.82,0.03,2016,Primary Transit,38 Vir,,0.07,1.18,F6 V
4 Uma b,269.3,0.87,0.432,2007,Radial Velocity,4 Uma,78.5,-0.25,1.234,K1III
42 Dra b,479.1,1.19,0.38,2009,Radial Velocity,42 Dra,97.3,-0.46,0.98,K1.5III
47 Uma b,1078,2.1,0.032,1996,Radial Velocity,47 Uma,13.97,0,1.03,G0V
47 Uma c,2391,3.6,0.098,2001,Radial Velocity,47 Uma,13.97,0,1.03,G0V
47 Uma d,14002,11.6,0.16,2010,Radial Velocity,47 Uma,13.97,0,1.03,G0V
51 Peg b,4.2308,0.052,0.0069,1995,Radial Velocity,51 Peg,14.7,0.2,1.11,G2 IV
