phase,mag_1,err_mag_1,mag_2,err_mag_2
0.545,10.984,0.011,10.951,0.011
0.588,10.936,0.011,10.925,0.011
0.637,10.875,0.010,10.872,0.010
0.670,10.845,0.010,10.819,0.010
0.730,10.787,0.010,10.754,0.010
0.748,10.775,0.010,10.760,0.010
0.793,10.718,0.010,10.733,0.010
0.831,10.721,0.010,10.716,0.010
0.876,10.705,0.010,10.717,0.010
0.922,10.683,0.010,10.722,0.010
0.967,10.709,0.010,10.768,0.011
0.016,10.724,0.009,10.786,0.010
0.044,10.731,0.010,10.807,0.010
0.085,10.757,0.010,10.854,0.011
0.141,10.800,0.010,10.894,0.011
0.181,10.837,0.010,10.906,0.011
0.207,10.869,0.010,10.942,0.011
0.257,10.940,0.010,11.014,0.011
0.301,11.004,0.010,11.083,0.011
0.331,11.055,0.011,11.139,0.011
0.374,11.125,0.011,11.185,0.012
0.411,11.162,0.011,11.195,0.012
0.464,11.143,0.011,11.147,0.012
