index ;typed ident;       identifier        ;typ;       coord1 (ICRS,J2000/2000)        ;Mag U ;Mag B ;Mag V ;Mag R ;Mag I ;  spec. type   ;#bib;#not
1  ;AB CAM     ;V* AB Cam                ;cC*;03 46 08.2526800242 +58 47 03.203658189;     ~;13.08 ;     ~;     ~;     ~;F3Ibp          ;  42;   0
2  ;AA SER     ;V* AA Ser                ;cC*;18 41 21.7624827648 -01 06 40.403194219;     ~;14.54 ;     ~;     ~; 9.572;K5             ;  47;   0
3  ;AA NOR     ;V* AA Nor                ;Ce*;15 49 26.1747871522 -57 39 43.967531342;     ~;14.30 ;     ~;     ~;     ~;~              ;  15;   0
4  ;AA MON     ;V* AA Mon                ;cC*;06 57 23.7697363710 -03 50 36.026136186;     ~;14.07 ;     ~;     ~;     ~;~              ;  41;   0
5  ;AA GEM     ;V* AA Gem                ;cC*;06 06 34.9459286635 +26 19 45.205210801;     ~;11.0  ; 9.91 ;     ~; 8.540;K0             ; 104;   0
6  ;AD CRU     ;V* AD Cru                ;cC*;12 12 59.6676390921 -62 05 48.571902831;     ~;12.19 ;11.07 ;     ~;     ~;~              ;  55;   0
7  ;AD CAM     ;V* AD Cam                ;cC*;03 29 25.9693397357 +60 26 47.271990543;     ~;14.16 ;     ~;     ~;     ~;~              ;  42;   0
8  ;AC MON     ;V* AC Mon                ;cC*;07 00 59.8200989695 -08 42 32.367780933;     ~;11.37 ;10.29 ;     ~;     ~;F5             ;  68;   0
9  ;AC CAM     ;V* AC Cam                ;cC*;03 23 47.8832831571 +59 21 20.417989420;     ~;14.14 ;     ~;     ~;     ~;~              ;  25;   0
10 ;AB VEL     ;V* AB Vel                ;cC*;10 19 52.1088999483 -56 18 35.235308340;     ~;     ~;     ~;     ~;     ~;~              ;  12;   0
11 ;AE VEL     ;V* AE Vel                ;cC*;09 36 51.4663512450 -53 01 58.066349829;     ~;11.5  ;10.4  ;     ~; 8.734;~              ;  53;   0
12 ;AE TAU     ;V* AE Tau                ;Ce*;05 34 36.6541381556 +26 12 08.666018880;     ~;     ~;     ~;     ~;     ~;~              ;  36;   0
13 ;AD PUP     ;V* AD Pup                ;cC*;07 48 03.8513966553 -25 34 40.023144556;     ~;10.81 ; 9.99 ;     ~;     ~;F8             ;  85;   0
14 ;AG CRU     ;V* AG Cru                ;cC*;12 41 26.0296377255 -59 47 39.039228681; 8.92 ; 9.050; 8.265;     ~; 7.356;F8Ib/II        ; 109;   0
15 ;AI CMA     ;V* AI CMa                ;Ce*;07 16 40.2646455227 -24 30 10.838613987;     ~;     ~;     ~;     ~;     ~;~              ;   9;   0
16 ;AH VEL     ;V* AH Vel                ;cC*;08 11 59.9670207132 -46 38 39.656138625;     ~; 6.35 ; 5.76 ;     ~;     ~;F7Ib/II        ; 154;   0
17 ;AO AUR     ;V* AO Aur                ;cC*;05 47 45.0529654365 +32 00 52.719751503;     ~;11.33 ;10.44 ;     ~;     ~;F5             ;  40;   0
18 ;AN AUR     ;V* AN Aur                ;cC*;04 59 41.5377308459 +40 50 09.727398522;     ~;11.35 ;10.21 ;     ~;     ~;F6             ;  88;   0
19 ;AM VEL     ;V* AM Vel                ;Ce*;08 35 37.1226594502 -47 45 33.636679221;     ~;     ~;     ~;     ~;     ~;~              ;  12;   0
20 ;AM CMA     ;V* AM CMa                ;Ce*;07 22 47.7800714423 -26 42 52.419408609;     ~;     ~;     ~;     ~;     ~;~              ;   7;   0
21 ;AM CAM     ;V* AM Cam                ;Ce*;03 36 20.1465812404 +62 17 14.009644358;     ~;     ~;     ~;     ~;     ~;~              ;  25;   0
22 ;ALPHA UMI  ;* alf UMi                ;cC*;02 31 49.09456 +89 15 50.7923          ; 3.00 ; 2.62 ; 2.02 ; 1.53 ; 1.22 ;F8Ib           ; 601;   2
23 ;AL VIR     ;V* AL Vir                ;WV*;14 11 09.0462360303 -13 18 38.439701066;     ~;10.13 ; 9.10 ;     ~;     ~;F3/5III        ;  76;   0
24 ;AL LYR     ;V* AL Lyr                ;WV*;19 19 29.6171248937 +27 33 44.444924929;     ~;12.95 ;11.98 ;     ~;     ~;~              ;  21;   0
25 ;AL CRA     ;V* AL CrA                ;WV*;18 15 11.5077183771 -37 06 51.911406409;     ~;12.25 ;     ~;     ~;     ~;~              ;  11;   0
26 ;AL CMA     ;V* AL CMa                ;Ce*;07 21 45.1543933037 -26 32 00.286721510;     ~;     ~;     ~;     ~;     ~;~              ;   7;   0
27 ;AP PUP     ;V* AP Pup                ;cC*;07 57 45.6728882268 -40 07 24.079693723;     ~; 8.13 ; 7.37 ;     ~; 6.462;F8II           ; 106;   0
28 ;AP HER     ;V* AP Her                ;WV*;18 50 27.7291586911 +15 56 24.668336434;12.09 ;11.33 ;10.87 ;     ~;     ~;F2Ib/II        ;  56;   0
29 ;AP CAS     ;V* AP Cas                ;cC*;00 33 16.1982645219 +62 54 26.147732136;     ~;12.68 ;11.52 ;     ~;     ~;F7.5Ib         ;  50;   0
30 ;AO PUP     ;V* AO Pup                ;Mi*;07 55 36.3279536131 -39 36 22.671507027;     ~;     ~;     ~;     ~;     ~;M10            ;  17;   1
31 ;AO CMA     ;V* AO CMa                ;cC*;07 24 40.5915853513 -26 11 18.607881826;     ~;     ~;     ~;     ~;     ~;~              ;  22;   0
32 ;AP SGR     ;* 12 Sgr                 ;cC*;18 13 02.4957702081 -23 07 02.200799106; 8.06 ; 7.48 ; 6.59 ;     ~; 6.057;F7/8Ib/II      ; 168;   0
33 ;AQ CAR     ;V* AQ Car                ;cC*;10 21 22.9755883634 -61 04 26.734361226;     ~; 9.73 ; 8.84 ;     ~;     ~;F8/G0Ib        ;  92;   0
34 ;AP VEL     ;V* AP Vel                ;Ce*;08 39 45.7558657365 -43 51 39.161994779;     ~;11.17 ;10.16 ;     ~;     ~;F9             ;  84;   0
35 ;AS AUR     ;V* AS Aur                ;cC*;06 05 24.4363616968 +28 47 22.937206472;     ~;12.34 ;11.75 ;     ~;     ~;F6             ;  20;   0
36 ;AQ PUP     ;V* AQ Pup                ;cC*;07 58 22.0887170720 -29 07 48.335325928;     ~; 9.70 ; 8.54 ;     ~; 7.175;F5-G2Ib        ; 168;   0
37 ;AS CAS     ;V* AS Cas                ;Ce*;00 25 37.7348316765 +64 13 47.616630699;     ~;     ~;     ~;     ~;     ~;~              ;  41;   0
38 ;AS VUL     ;V* AS Vul                ;cC*;19 47 44.4705838062 +27 55 05.704402690;     ~;14.13 ;     ~;     ~;     ~;~              ;  30;   0
39 ;AS PER     ;V* AS Per                ;cC*;04 19 46.8581718451 +48 57 11.778174280;     ~;10.94 ; 9.71 ;     ~; 8.103;F8             ;  73;   0
40 ;AS MUS     ;V* AS Mus                ;Ce*;13 44 40.1523702466 -68 28 34.756050284;     ~;     ~;     ~;     ~;     ~;~              ;   8;   0
41 ;AU PEG     ;V* AU Peg                ;WV*;21 24 00.2422967380 +18 16 43.776787622;     ~;10.03 ; 9.18 ;     ~;     ~;F8             ;  86;   0
42 ;AU CAS     ;V* AU Cas                ;RR*;00 55 12.9327734442 +64 15 38.708734491;     ~;     ~;     ~;     ~;     ~;~              ;   5;   0
43 ;AT PUP     ;V* AT Pup                ;cC*;08 12 22.4032077457 -36 56 37.530066706;     ~; 8.83 ; 8.07 ;     ~; 7.085;F5             ; 111;   0
44 ;AW CAS     ;V* AW Cas                ;cC*;01 16 01.2048012369 +61 37 14.550766464;     ~;13.52 ;     ~;     ~;10.321;~              ;  26;   0
45 ;AV TAU     ;V* AV Tau                ;cC*;05 45 44.9162366630 +27 04 04.459560907;     ~;13.70 ;     ~;     ~;     ~;~              ;  33;   0
46 ;AV SGR     ;V* AV Sgr                ;cC*;18 04 48.7864032131 -22 43 56.645836757;     ~;13.39 ;     ~;     ~;10.595;~              ;  54;   0
47 ;AV CIR     ;V* AV Cir                ;cC*;14 50 30.2962544130 -67 29 51.440008848;     ~; 8.29 ; 7.44 ;     ~; 6.358;F7II           ;  58;   0
48 ;AX AUR     ;V* AX Aur                ;cC*;05 46 50.8150368229 +31 35 52.507874209;     ~;13.54 ;     ~;     ~;     ~;~              ;  32;   0
49 ;AY SGR     ;V* AY Sgr                ;cC*;18 23 19.1499153698 -18 34 29.191214517;     ~;11.99 ;10.49 ; 9.62 ; 9.052;F6             ;  65;   0
50 ;AY CEN     ;V* AY Cen                ;cC*;11 25 05.7551886199 -60 44 04.634150361;     ~; 9.74 ; 8.81 ;     ~; 7.700;K0             ;  68;   0
51 ;AY CAS     ;V* AY Cas                ;cC*;01 38 59.9866360517 +64 59 21.264575829;     ~;12.37 ;11.40 ;     ~;     ~;~              ;  34;   0
52 ;AX VEL     ;V* AX Vel                ;Ce*;08 10 49.3237950601 -47 41 54.827371638;     ~; 8.78 ; 8.16 ;     ~;     ~;F6II           ; 109;   0
53 ;AX CIR     ;* 26 Cir                 ;cC*;14 52 35.2532439095 -63 48 35.417176347;     ~; 6.66 ; 5.96 ;     ~; 4.993;F8II           ; 118;   0
54 ;AZ CEN     ;V* AZ Cen                ;cC*;11 25 12.9848514794 -61 22 08.966547260;     ~; 9.22 ; 8.41 ;     ~; 7.858;F7V            ; 114;   0
55 ;BB HER     ;V* BB Her                ;cC*;18 45 54.1034570780 +12 20 10.110074314;     ~;11.1  ;10.02 ;     ~;     ~;G5             ;  76;   0
56 ;BB GEM     ;V* BB Gem                ;cC*;06 34 35.2938235569 +13 04 44.707699381;     ~;11.85 ;11.16 ;     ~;     ~;~              ;  58;   0
57 ;BB CEN     ;V* BB Cen                ;cC*;11 53 33.5381874923 -62 51 07.918624397;     ~;10.99 ;10.11 ;     ~;     ~;F5             ;  66;   0
58 ;BE CRA     ;V* BE CrA                ;WV*;18 54 54.0368094591 -40 23 15.273008923;     ~;     ~;     ~;     ~;     ~;~              ;   6;   0
59 ;BD PUP     ;V* BD Pup                ;cC*;07 30 38.7011427096 -24 41 15.085659989;     ~;     ~;     ~;     ~;     ~;~              ;  12;   0
60 ;BD CAS     ;V* BD Cas                ;WV*;00 09 51.3936043056 +61 30 50.546759498;     ~;12.38 ;11.22 ;     ~;     ~;~              ;  49;   0
61 ;BC PUP     ;V* BC Pup                ;cC*;07 30 02.5526306676 -23 40 26.364259329;     ~;     ~;     ~;     ~;     ~;~              ;  20;   0
62 ;BC CMA     ;V* BC CMa                ;Ce*;07 21 07.4472849820 -21 30 38.177235762;     ~;     ~;     ~;     ~;     ~;~              ;  12;   0
63 ;BC AQL     ;V* BC Aql                ;Ce*;19 17 24.1568730564 -09 04 51.591727775;     ~;     ~;     ~;     ~;     ~;~              ;  20;   0
64 ;BB SGR     ;V* BB Sgr                ;cC*;18 50 59.8730479535 -20 17 42.828317888; 8.07 ; 7.53 ; 6.69 ;     ~; 5.824;G0Ib           ; 226;   0
65 ;BE TUC     ;V* BE Tuc                ;cC*;01 16 58.20 -73 43 10.6                ;     ~;15.54 ;14.079;     ~;13.056;~              ;  20;   0
66 ;BE MON     ;V* BE Mon                ;cC*;06 40 05.5823302469 +07 36 20.987932485;     ~;11.6  ;10.5  ;     ~;     ~;G5             ;  70;   0
67 ;BF CAS     ;V* BF Cas                ;cC*;00 14 03.2291025094 +60 59 10.554361039;     ~;13.74 ;     ~;     ~;     ~;~              ;  29;   0
68 ;BF TUC     ;V* BF Tuc                ;cC*;01 17 52.9975933947 -73 37 25.153275568;14.94 ;14.51 ;13.72 ;     ~;12.89 ;F0             ;  32;   0
69 ;BF OPH     ;V* BF Oph                ;cC*;17 06 05.4979763004 -26 34 50.031704299; 8.00 ; 7.61 ; 6.93 ;     ~; 6.377;G0II           ; 197;   0
