target_id,r_med_geo
XX Cen,1772.45900
T Mon,1364.26980
TW Nor,2764.51100
CV Mon,1662.33650
RY Sco,1327.06230
TT Aql,1005.94025
QZ Nor,2122.70680
Y Oph,741.15140
VW Cen,3909.08600
V340 Nor,2041.16400
GY Sge,2892.88160
WZ Car,3555.45430
CD Cyg,2545.78740
FF Aql,520.95123
Y Lac,2324.27690
BB Sgr,837.29840
Z Lac,1961.14070
BG Lac,1717.31350
UU Mus,3250.82710
KN Cen,4174.41260
RU Sct,1918.44210
DL Cas,1719.71010
RS Pup,1704.42050
V* CE Cas B,3021.08150
SV Vul,2470.45140
VY Car,1774.60720
V367 Sct,2127.63430
U Nor,1606.80760
LS Pup,4689.82130
AQ Pup,3451.05370
BN Pup,3356.21630
U Sgr,622.91205
S Mus,853.21484
T Vul,583.94120
WZ Sgr,1648.33670
V Car,1254.37280
S Nor,914.31030
CS Vel,3654.89180
V Cen,707.51666
CF Cas,3175.53000
T Vel,1068.82080
X Cyg,1100.03170
X Cyg,1100.03170
VZ Cyg,1848.94530
V* CE Cas A,3019.34350
SW Vel,2442.28080
SZ Aql,1920.95340
S Vul,4321.80700
RZ Vel,1515.37210
GH Lup,1157.13320
RY Vel,2649.10420
X Sgr,354.34995
V496 Aql,1025.02550
V350 Sgr,1239.94270
U Vul,774.53390
W Sgr,424.80840
SU Cyg,965.62244
S Sge,593.44370
beta Dor,342.83926
U Car,1790.10640
l Car,514.96840
zeta Gem,326.32123
Y Sgr,499.34586
delta Cep,281.19427
U Aql,572.11176
eta Aql,272.17056
RT Aur,543.09717
SU Cru,4748.55600
