phase,mag_1,err_mag_1,mag_2,err_mag_2
0.919,11.568,0.013,11.605,0.014
0.969,11.510,0.013,11.498,0.013
0.992,11.485,0.012,11.471,0.014
0.048,11.396,0.013,11.372,0.013
0.080,11.378,0.012,11.330,0.013
0.127,11.334,0.011,11.296,0.013
0.161,11.268,0.011,11.276,0.012
0.197,11.244,0.012,11.255,0.012
0.244,11.205,0.011,11.235,0.013
0.301,11.182,0.011,11.232,0.012
0.326,11.162,0.011,11.235,0.012
0.374,11.165,0.011,11.243,0.012
0.413,11.167,0.011,11.267,0.014
0.465,11.171,0.011,11.290,0.012
0.497,11.187,0.011,11.292,0.012
0.531,11.220,0.011,11.315,0.013
0.608,11.266,0.011,11.394,0.013
0.628,11.282,0.011,11.378,0.013
0.663,11.302,0.011,11.419,0.013
0.706,11.357,0.012,11.460,0.013
0.742,11.389,0.012,11.528,0.014
0.792,11.439,0.012,11.523,0.014
0.828,11.472,0.012,11.584,0.014
